feature,desc,transf_initial,source,source_group,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
actualdpd_943P,Days Past Due (DPD) of previous contract (actual).,P,applprev1,applprev1,158,"min, max",1,,,,
annuity_853A,Monthly annuity for previous applications.,A,applprev1,applprev1,76849,"min, max, rangefirstlast, mean",1,,,,
approvaldate_319D,Approval Date of Previous Application,D,applprev1,applprev1,5399,"min, max, range, count",1,,,,
byoccupationinc_3656910L,Applicant's income from previous applications.,L,applprev1,applprev1,17996,"min, max, mean, rangefirstlast",0,,,,
cancelreason_3545846M,Application cancellation reason.,M,applprev1,applprev1,73,"nunique, nuniquetotal, mode",1,,,,
childnum_21L,Number of children in the previous application.,L,applprev1,applprev1,20,"first, max",1,,,,
creationdate_885D,Date when previous application was created.,D,applprev1,applprev1,5403,"min, max, mean, range",1,1,,,
credacc_actualbalance_314A,Actual balance on credit account.,A,applprev1,applprev1,48132,"min, max",1,,,,
credacc_credlmt_575A,Credit card credit limit provided for previous applications.,A,applprev1,applprev1,30377,"min, max",1,,,,
credacc_maxhisbal_375A,Maximal historical balance of previous credit account,A,applprev1,applprev1,39327,"min, max",1,,,,
credacc_minhisbal_90A,Minimum historical balance of previous credit accounts.,A,applprev1,applprev1,37540,"min, max, mean",1,,,,
credacc_status_367L,Account status of previous credit applications.,L,applprev1,applprev1,7,"nunique, nuniquetotal, mode",1,,,,
credacc_transactions_402L,Number of transactions made with the previous credit account of the applicant.,L,applprev1,applprev1,94,"min, max",1,,,,
credamount_590A,Loan amount or card limit of previous applications.,A,applprev1,applprev1,165673,"min, max, mean",1,,,,
credtype_587L,Credit type of previous application.,L,applprev1,applprev1,4,"nunique, nuniquetotal, mode",1,,,,
currdebt_94A,Previous application's current debt.,A,applprev1,applprev1,201409,"min, max",1,,,,
dateactivated_425D,Contract activation date of the applicant's previous application.,D,applprev1,applprev1,4212,"min, max",1,,,,
district_544M,District of the address used in the previous loan application.,M,applprev1,applprev1,1030,"nunique, nuniquetotal",1,,,,
downpmt_134A,Previous application downpayment amount.,A,applprev1,applprev1,13797,"min, max, mean",1,,,,
dtlastpmt_581D,Date of last payment made by the applicant.,D,applprev1,applprev1,2354,"min, max, mean",1,,,,
dtlastpmtallstes_3545839D,Date of the applicant's last payment.,D,applprev1,applprev1,2366,"min, max",1,,,,
education_1138M,Applicant's education level from their previous application.,M,applprev1,applprev1,6,mode,1,,,,
employedfrom_700D,Employment start date from the previous application.,D,applprev1,applprev1,8344,"min, max, mean",1,,,,
familystate_726L,Family State in previous application of applicant.,L,applprev1,applprev1,6,"nunique, nuniquetotal, mode",1,,,,
firstnonzeroinstldate_307D,Date of last instalment in the previous application.,D,applprev1,applprev1,5154,"min, max, mean",1,,,,
inittransactioncode_279L,Type of the initial transaction made in the previous application of the client.,L,applprev1,applprev1,4,"nunique, nuniquetotal, mode",1,,,,
isbidproduct_390L,Flag for determining if the product is a cross-sell in previous applications.,L,applprev1,applprev1,3,"min, max",1,,,,
isdebitcard_527L,Previous application flag indicating if product being applied for is a debit card.,L,applprev1,applprev1,3,"min, max",1,,,,
mainoccupationinc_437A,Client's main income amount in their previous application.,A,applprev1,applprev1,17341,"min, max",1,,,,
maxdpdtolerance_577P,Maximum DPD with tolerance (on previous application/s).,P,applprev1,applprev1,3210,"min, max",1,,,,
outstandingdebt_522A,Amount of outstanding debt on the client's previous application.,A,applprev1,applprev1,179740,"max, min, mean",1,,,,
pmtnum_8L,Number of payments made for the previous application.,L,applprev1,applprev1,61,"min, max",1,,,,
postype_4733339M,Type of point of sale.,M,applprev1,applprev1,9,mode,1,,,,
profession_152M,Profession of the client during their previous loan application.,M,applprev1,applprev1,5799,"nunique, nuniquetotal",1,,,,
rejectreason_755M,Reason for previous application rejection.,M,applprev1,applprev1,18,"nunique, nuniquetotal, mode",1,,,,
rejectreasonclient_4145042M,Reason for rejection of the client's previous application.,M,applprev1,applprev1,14,"nunique, nuniquetotal, mode",1,,,,
revolvingaccount_394A,Revolving account that was present in the applicant's previous application.,A,applprev1,applprev1,52407,max,0,,,,
status_219L,Previous application status.,L,applprev1,applprev1,12,"nunique, nuniquetotal, mode",1,,,,
tenor_203L,Number of instalments in the previous application.,L,applprev1,applprev1,61,"min, max",1,,,,
cacccardblochreas_147M,Card blocking reason.,M,applprev2,applprev2,,"nunique, nuniquetotal, mode, first",1,,,,
conts_type_509L,Person contact type in previous application.,L,applprev2,applprev2,,"nunique, nuniquetotal, mode, first",1,,,,
credacc_cards_status_52L,Card status of the previous credit account.,L,applprev2,applprev2,,"nunique, nuniquetotal, mode, first",1,,,,
annualeffectiverate_199L,Interest rate of the closed contracts.,L,creditbureaua1,creditbureau1,5391,"min, max, mean, last",1,,annualeffectiverate_199L,closed,
annualeffectiverate_63L,Interest rate for the active contracts.,L,creditbureaua1,creditbureau1,4516,"min, max, mean, last",1,,annualeffectiverate_63L,active,
annualeffectiverate_all,Interest rate for the active contracts.,L,creditbureaua1,creditbureau1,4516,"min, max, mean, last",1,,annualeffectiverate_63L,all,
classificationofcontr_13M,Classificiation of the active contract.,M,creditbureaua1,creditbureau1,10,"nunique, nuniquetotal, mode, last",1,,classificationofcontr_13M,active,
classificationofcontr_400M,Classificiation of the closed contract.,M,creditbureaua1,creditbureau1,286,"nunique, nuniquetotal, mode, last",1,,classificationofcontr_400M,closed,
classificationofcontr_all,Classificiation of the active contract.,M,creditbureaua1,creditbureau1,10,"nunique, nuniquetotal, mode, last",1,,classificationofcontr_13M,all,
contractst_545M,Contract status of an active contract.,M,creditbureaua1,creditbureau1,28,"nunique, nuniquetotal, mode, last",1,,contractst_545M,active,
contractst_964M,Contract status of terminated credit contract.,M,creditbureaua1,creditbureau1,218,"nunique, nuniquetotal, mode, last",1,,contractst_964M,closed,
contractst_all,Contract status of an active contract.,M,creditbureaua1,creditbureau1,28,"nunique, nuniquetotal, mode, last",1,,contractst_545M,all,
contractsum_5085717L,Sum of other contract values.,L,creditbureaua1,creditbureau1,221600,"min, max, range",0,,contractsum_5085717L,common,
credlmt_230A,Credit limit of the closed credit contracts from credit bureau.,A,creditbureaua1,creditbureau1,13064,"min, max, mean, sum",1,,credlmt_230A,closed,
credlmt_935A,Credit limit for active loan.,A,creditbureaua1,creditbureau1,27540,"min, max, mean, sum, rangelastfirst",1,,credlmt_935A,active,
credlmt_all,Credit limit for active loan.,A,creditbureaua1,creditbureau1,27540,"min, max, mean, sum, rangelastfirst",1,,credlmt_935A,all,
dateofcredend_289D,End date of an active credit contract.,D,creditbureaua1,creditbureau1,5970,"min, max, mean",1,,dateofcredend_289D,active,
dateofcredend_353D,End date of a closed credit contract.,D,creditbureaua1,creditbureau1,8975,"min, max, mean",1,,dateofcredend_353D,closed,
dateofcredend_all,End date of an active credit contract.,D,creditbureaua1,creditbureau1,5970,"min, max, mean",1,1,dateofcredend_289D,all,
dateofcredstart_181D,Start date of an active credit contract.,D,creditbureaua1,creditbureau1,6275,"min, max, mean",1,,dateofcredstart_181D,active,
dateofcredstart_739D,Start date of a closed credit contract.,D,creditbureaua1,creditbureau1,4431,"min, max, mean",1,,dateofcredstart_739D,closed,
dateofcredstart_all,Start date of an active credit contract.,D,creditbureaua1,creditbureau1,6275,"min, max, mean",1,,dateofcredstart_181D,all,
dateofrealrepmt_138D,Date of credit's closure (contract termination date).,D,creditbureaua1,creditbureau1,5854,"min, max",1,,dateofrealrepmt_138D,closed,
debtoutstand_525A,Outstanding amount of existing contract.,A,creditbureaua1,creditbureau1,135691,"min, max, mean, sum",1,,debtoutstand_525A,active,
debtoutstand_all,Outstanding amount of existing contract.,A,creditbureaua1,creditbureau1,135691,"min, max, mean, sum",1,,debtoutstand_525A,all,
debtoverdue_47A,Amount that is currently past due on a client's existing credit contract.,A,creditbureaua1,creditbureau1,2382,"max, mean, sum, meannonzero",1,,debtoverdue_47A,active,
debtoverdue_all,Amount that is currently past due on a client's existing credit contract.,A,creditbureaua1,creditbureau1,2382,"max, mean, sum, meannonzero",1,,debtoverdue_47A,all,
description_351M,Categorization of clients by credit bureau.,M,creditbureaua1,creditbureau1,12,"nunique, nuniquetotal, mode, last",1,,description_351M,common,
dpdmax_139P,Maximal days past due for active contract.,P,creditbureaua1,creditbureau1,1087,"min, max",1,,dpdmax_139P,active,
dpdmax_757P,Maximum days past due for a closed contract.,P,creditbureaua1,creditbureau1,3625,"min, max",1,,dpdmax_757P,closed,
dpdmax_all,Maximal days past due for active contract.,P,creditbureaua1,creditbureau1,1087,"min, max, mean",1,,dpdmax_139P,all,
dpdmaxdatemonth_442T,Max DPD occurrence month for terminated contracts from credit bureau data.,T,creditbureaua1,creditbureau1,13,"min, max, mean",1,,dpdmaxdatemonth_442T,closed,
dpdmaxdatemonth_89T,Month when maximum days past due occurred on the active contract with the credit bureau.,T,creditbureaua1,creditbureau1,13,"min, max, mean",1,,dpdmaxdatemonth_89T,active,
dpdmaxdatemonth_all,Month when maximum days past due occurred on the active contract with the credit bureau.,T,creditbureaua1,creditbureau1,13,"min, max, mean",1,,dpdmaxdatemonth_89T,all,
dpdmaxdateyear_596T,Year when maximum Days Past Due (DPD) occurred for the active contract.,T,creditbureaua1,creditbureau1,6,,0,,dpdmaxdateyear_596T,active,
dpdmaxdateyear_896T,Year of maximum Days Past Due of closed contract obtained from Credit Bureau.,T,creditbureaua1,creditbureau1,19,,0,,dpdmaxdateyear_896T,closed,
dpdmaxdateyear_all,Year when maximum Days Past Due (DPD) occurred for the active contract.,T,creditbureaua1,creditbureau1,6,,0,,dpdmaxdateyear_596T,all,
financialinstitution_382M,Name of financial institution that is linked to a closed contract.,M,creditbureaua1,creditbureau1,260,"nunique, nuniquetotal",1,,financialinstitution_382M,closed,
financialinstitution_591M,Financial institution name of the active contract.,M,creditbureaua1,creditbureau1,152,"nunique, nuniquetotal",1,,financialinstitution_591M,active,
financialinstitution_all,Financial institution name of the active contract.,M,creditbureaua1,creditbureau1,152,"nunique, nuniquetotal",1,,financialinstitution_591M,all,
instlamount_768A,Instalment amount for the active contract in credit bureau.,A,creditbureaua1,creditbureau1,50059,"min, max",1,,instlamount_768A,active,
instlamount_852A,Instalment amount for closed contract.,A,creditbureaua1,creditbureau1,22792,"min, max",1,,instlamount_852A,closed,
instlamount_all,Instalment amount for the active contract in credit bureau.,A,creditbureaua1,creditbureau1,50059,"min, max",1,,instlamount_768A,all,
