feature,desc,transf_initial,source,source_group,depth,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
actualdpd_943P,Days Past Due (DPD) of previous contract (actual).,P,applprev1,applprev1,1,158,"mean, max, var",1,,,,
annuity_853A,Monthly annuity for previous applications.,A,applprev1,applprev1,1,76849,"mean, max, var",1,,,,
approvaldate_319D,Approval Date of Previous Application,D,applprev1,applprev1,1,5399,"mean, max, var",1,,,,
byoccupationinc_3656910L,Applicant's income from previous applications.,L,applprev1,applprev1,1,17996,"mean, max",1,,,,
cancelreason_3545846M,Application cancellation reason.,M,applprev1,applprev1,1,73,"mean, max",1,,,,
childnum_21L,Number of children in the previous application.,L,applprev1,applprev1,1,20,"mean, max",1,,,,
creationdate_885D,Date when previous application was created.,D,applprev1,applprev1,1,5403,"mean, max, var",1,1,,,
credacc_actualbalance_314A,Actual balance on credit account.,A,applprev1,applprev1,1,48132,"mean, max, var",1,,,,
credacc_credlmt_575A,Credit card credit limit provided for previous applications.,A,applprev1,applprev1,1,30377,"mean, max, var",1,,,,
credacc_maxhisbal_375A,Maximal historical balance of previous credit account,A,applprev1,applprev1,1,39327,"mean, max, var",1,,,,
credacc_minhisbal_90A,Minimum historical balance of previous credit accounts.,A,applprev1,applprev1,1,37540,"mean, max, var",1,,,,
credacc_status_367L,Account status of previous credit applications.,L,applprev1,applprev1,1,7,"mean, max",1,,,,
credacc_transactions_402L,Number of transactions made with the previous credit account of the applicant.,L,applprev1,applprev1,1,94,"mean, max",1,,,,
credamount_590A,Loan amount or card limit of previous applications.,A,applprev1,applprev1,1,165673,"mean, max, var",1,,,,
credtype_587L,Credit type of previous application.,L,applprev1,applprev1,1,4,"mean, max",1,,,,
currdebt_94A,Previous application's current debt.,A,applprev1,applprev1,1,201409,"mean, max, var",1,,,,
dateactivated_425D,Contract activation date of the applicant's previous application.,D,applprev1,applprev1,1,4212,"mean, max, var",1,,,,
district_544M,District of the address used in the previous loan application.,M,applprev1,applprev1,1,1030,"mean, max",1,,,,
downpmt_134A,Previous application downpayment amount.,A,applprev1,applprev1,1,13797,"mean, max, var",1,,,,
